event_index,event_title,core_objective,canon_attributes,event_text_verbatim
26,Kelly dragged and warns something worse,a aggressive force is already active in the house and states Kelly's warning that “Puck” is not a protector but a toll that enables the Feeder to feed on what comes through.,"Objects: Kelly states that Puck “opens doors” and “carries balance” | Environmental conditions: A loud time cue occurs: “TICK. 9:13. ONCE.” followed by silence | Other: Kelly is yanked backward by the ankle, hits the ground hard, and is dragged several feet toward a dark hallway, Kelly is on the floor, shaken and still frozen, with her knees pulled in, Lucas is present and staring at his hands, which are shaking, Maverick, Holly, and Jaxton are present and speaking in the moment, Kelly explicitly states that something much worse than Puck is already in the house, Kelly describes Puck as “the toll,” saying that when he helps, someone else pays, Kelly identifies the evil in the house as “the Feeder,” which “eats what comes through”, Kelly stares at a timepiece","CRACK. The floor beneath Kelly shifts with brutal force. She gasps, yanked backward, violent, by the ankle
Kelly screams in pain as she hits the ground hard, dragged a few feet toward the dark hallway.
TICK. 9:13. ONCE. LOUD. Silence.
Beat- everyone is completely still. Lucas stares at his hands, they’re shaking.
MAVERICK (half-whispering)
Maybe those mushrooms were way stronger than we thought.
HOLLY (soft)
Are you okay?
KELLY I think so.
JAXTON (quiet)
Was that... Puck?
Shaking her head, still frozen on the floor, knees pulled in.
KELLY (shaken)
No. Something much worse is already here.
She stares at the timepiece.
KELLY (CONT’D)
Puck’s not a protector. He’s the
toll. Every time he’s helped... someone else paid. That’s why I didn’t want to tell you.
MAVERICK
What the hell does that mean?
35.
KELLY
Puck opens doors, carries balance.
The evil in this house, the Feeder, eats what comes through."
27,Lucas tries to leave and vanishes,No material state change occurs.,(none),"LUCAS I’m done.
JAXTON Lucas—
LUCAS (standing)
No Jax, I'm done. This isn't fun anymore. It's not even scary. It's sick.
He grabs his gear.
LUCAS (CONT’D) (to Wesley)
And if this is a prank? It sucks.
HOLLY Please don’t—
LUCAS
I’m sorry Holly. Maybe I'm having a
bad trip, maybe its the meds... but I'm not having fun!
WESLEY (to camera)
Rage-quit in real time. Classic. Drop a chat for epic haunted exits.
LIVESTREAM CHAT GLITCHES:
**""Don’t go.""**
**""He’s not where you think.""**
**""REWIND. REWIND. REWIND.""**
Lucas steps outside. Front door CLICKS shut.
JAXTON Lucas?
ON-SCREEN: Lucas appears in a different room. Flickers. Snaps back.
Beat... the group is frozen. They’re processing the last few minutes, all equally lost.
36.
HOLLY
He just walked out and vanished.
MAVERICK No. No fucking way.
He moves to the front door opening it, a solid stone wall behind it. Pounding on the wall then slamming the door shut.
Maverick storms to the side window, and grabs a fire poker, he swings. GLASS SHATTERS. Behind it: plaster. Wallpaper. More house.
MAVERICK (CONT’D) What the hell!
KELLY
The house lies. They look like
exits—until you use them.
HOLLY Wesley. The feed.
Wesley’s tablet screen, looping footage from ten minutes ago. LIVESTREAM CHAT:
**""get out""**
**""get out""**
**""get out""**
Wesley stares. The loop won’t break.
INT. MORGUE – ALTERED REA"
28,Lucas trapped in morgue with Jonah,No material state change occurs.,(none),"The front door opens into fog. MAVERICK stares out, desperate. Slams fists into the open air.
LUCAS (shouting)
Maverick! I’m here! Mav!
Maverick SLAMS the door shut. It vanishes. A blank slab wall remains.
Lucas turns. He stands before a morgue that shouldn’t exist. Rows of twisted BODY DRAWERS. A low MECHANICAL BUZZ hums. Cold, refrigerated air bites deep.
37.
In the center of the room: a GURNEY. A BODY BAG atop it.
LUCAS (CONT’D) (softly)
Dream logic. Mushroom logic.
He unzips the bag. Inside, a boy. Pale. Waterlogged. Eyes wide.
The boy’s hand suddenly JERKS UP - GRABBING Lucas by the wrist. Cold. Wrinkled. Strong.
Lucas tries to pull back, but the grip tightens, YANKING him forward against the gurney.
His cheek scrapes the slick plastic.
LUCAS (CONT’D) (whispers, breaking)
Jonah?
The boy’s mouth opens. A CHORUS OF WHISPERS spills out. Lucas WRENCHES free. Water seeps from the drain. Then from the walls. Rushing.
The decayed room rearranges. Red light seeps from cracked tiles. Etched into them: “Start a story. Reveal the wound. Pay the cost. Only then can you end it.”
He spins toward a RED DOOR. Wet paint. It pulses.
JONAH (O.S.)
You can’t leave until you finish
the game.
Lucas bolts for the red door.
INT. PARLOR – REALITY – CONTINUOUS"
29,Lucas returns and they choose finish story,No material state change occurs.,(none),"The front door CREAKS open. Lucas stumbles in. Shuts it. Pale. Shaking.
HOLLY Lucas!
LUCAS (broken)
Don’t go alone. The house isn’t real. Not the way we think. It shifts.
38.
WESLEY (staggered)
What did you see?
LUCAS
Jonah. My friend. He drowned when
we were ten. I dared him to cross the lake... and he did. I watched him disappear.
HOLLY (gutted)
Oh my god...
LUCAS
And the house knew. It used it.
MAVERICK
That’s it. Jax, this is insane. We
done?
LUCAS (pleading)
He said we can’t leave until we finish the story.
KELLY
It’s not done with us. We follow
its rules—or it makes new ones.
JAXTON
Then we finish. Together.
They settle. Numb. Shaken.
WESLEY (to camera)
Alright weirdos... we keep rolling. The story’s got teeth.
TICK. TICK. 9:13.
Jaxton reads. New words BLEED through: “The chapel splits open. Something waits beneath.” He tries to erase them. They remain.
JAXTON (reading)
You descend into the undercroft. Stone steps. Blood altar.
The MAP shifts. A BLACK CIRCLE appears.
39.
KELLY
That’s not from the game.
HOLLY A void.
MAVERICK Or a mouth.
TICK."
30,Phones fail and livestream isn’t live,No material state change occurs.,(none),"A SNAP from the kitchen. GLASS SHATTERS. Silence.
WESLEY (nervous)
Air pressure.
KELLY (low)
No. The story just turned a page.
The group barely breathes. The sound of the shattered glass still lingers like an echo.
HOLLY
Ok, screw this. I'm calling
someone.
She pulls out her phone. A moment later, so do the others. All of them show ZERO BARS. No signal.
MAVERICK
Yeah, enough scary-movie crap for
one night.
911 still work in... hell?
HOLLY Just call!
She dials. It rings. Then her own voice answers.
HER VOICE (V.O.) You’re still lying.
She drops the phone.
HOLLY That was me.
Maverick dials. Static.
MAVERICK (CONT’D)
40.
MAVERICK (quiet)
Nothing.
Wesley checks the livestream.
CHAT SESSION:
**""Where’s the truth?""** **""You promised them.""** **""Start over.""**
**""No one’s watching.""**
WESLEY
This... this isn’t live anymore.
KELLY
It never was. Not to them.
He pulls out his SATELLITE PHONE.
1 UNREAD MESSAGE: “It’s watching me. I didn’t trigger anything.”
WESLEY (shows her)
From Billy. Today.
JAXTON
What does this demon want?
KELLY
To feed. Through fear. Through us.
It writes a truth we’re not telling.
TICK. TICK. 9:1"
31,Satellite message and reality shifts,No material state change occurs.,(none),"HOLLY
And when it finishes writing?
KELLY It feeds again.
Beat- reality starts to sink in, it’s not a game of D&D anymore, it’s life and death. The floor RUMBLES. The map SHIFTS."
32,Group argues as map agrees,No material state change occurs.,(none),"The group sit in dim silence. Phones face-down.
MAVERICK
Someone brought this shit in.
HOLLY Don’t start.
MAVERICK
This started when she showed up.
KELLY You blaming me?
MAVERICK
You knew. You walked in haunted.
KELLY
You want to blame me because the
house knows you?
HOLLY Enough!
KELLY (to Maverick)
What’s it writing about you? He doesn’t answer.
LUCAS
Kelly’s not the problem.
JAXTON (flat)
No. It’s us. The game’s just... reading us.
The MAP shifts. “AGREE” carves itself into the void.
HOLLY It’s watching.
LUCAS
It wants us to look.
KELLY Understand. Admit.
Kelly’s watch WHISPERS to her: “THIS ISN’T YOUR STORY. IT’S THEIRS.” Only she hears.
HOLLY What if we don’"
33,Holly fumbles and enters tunnel,No material state change occurs.,(none),"It turns the page.
Jaxton shuts his binder.
JAXTON Maybe it already has.
The BLACK CIRCLE PULSES with candlelight. A shared breath.
WESLEY (hollow)
Let’s finish the story. Right, weirdos?
LIVESTREAM CHAT: **""It’s not a show.""** **""Show more PUCK.""**
WESLEY (CONT’D) Then... the show goes on.
JAXTON (SOFT)
Ok...The undercroft stretches into
tunnels. You hear someone breathing in the dark.
(beat)
One torch left. One path splits into three.
He looks up.
JAXTON (CONT’D) One must go first.
MAVERICK
Can we skip the scary tunnel shit?
JAXTON
Roll a D20. Hope high.
They roll. HOLLY rolls a ONE. Critical fumble. She just stares at the die.
LUCAS (to Holly)
I’ll go instead.
HOLLY (soft)
No. The house wants my story.
43.
Silence.
JAXTON
You walk into the blackness of the
tunnel. The stench of wet cloth and copper. A child’s voice calling out.
HOLLY
She died because I let her.
HOLLY (CONT’D)
I didn’t wait. I lied. I pretended
it was an accident.
TICK.
A DOOR APPEARS.
LUCAS That wasn’t there.
WESLEY Not on playback.
The STREAM GLITCHES.
JAXTON
She opened the door.
KELLY
The house accepted it.
HOLLY What’s behind it?
KELLY (reading map)
Two paths. One says “Her.” One says “You.”
JAXTON
You have to choose who stays.
HOLLY (flat)
If I choose her, I stay. If I choose me, she stays lost.
MAVERICK That’s fuc"
34,Holly confesses and chooses door,No material state change occurs.,(none),"It tells the truth.
Holly rises.
JAXTON You don’t have to.
HOLLY
She’s waited long enough.
She walks. Lucas grabs her hand, desperate. He won’t let go.
LUCAS Holly, I love you.
(beat, breaking)
I’ve always loved you. Please... don’t go.
The group sits in stunned silence. Holly’s hand trembles in his. For a moment, it looks like she’ll stay.
HOLLY (soft, breaking)
I know, Lucas. I think I’ve always known.
(beat)
But that’s not the truth I carry. And you can’t follow me into mine.
She presses his hand to her chest, then pulls away. Tears slip, but she doesn’t hide them.
HOLLY (CONT’D)
I love you. Just not in the way you
need. Don’t make me another ghost.
She opens the door. A faint, familiar voice whispers inside—
BETH (V.O.)
Holly...?
Holly’s face collapses, but she steps through. The SLAM echoes like a coffin lid.
Tears stream down Lucas’ face.
MAVERICK
Why are we still playin"
35,Holly confronts Beth in darkness,No material state change occurs.,(none),"Darkness swallows HOLLY as the door seals behind her. Her flashlight flickers. The beam is weak. Unsteady.
A child’s jacket hangs from a rusted hook. A school backpack. One shoe.
She approaches, kneels. Breath short.
A faded bus pass dangles from the bag. She opens the front pocket. Inside, a laminated schedule. A torn drawing. Two stick girls.
One with a red ribbon.
HOLLY (soft)
You were waiting... (beat)
And I left. She trembles.
HOLLY (CONT’D)
I said I’d wait by the gym. I
just... I wanted to see my friends. (beat)
You said you’d be fine. But you weren’t.
A soft scraping. She turns.
Her little sister, BETH STANTON (8), barefoot, still, wearing a red ribbon.
BETH You forgot me.
HOLLY
I didn’t mean to. I swear.
BETH
I walked the whole way. You weren’t
there. (beat)
I got scared. The man in the car...
46.
HOLLY breaks.
HOLLY
Don’t say it. Please.
BETH
You didn’t even notice I was gone.
The flashlight dies. Total black. A cold hand finds hers.
BETH (O.S.) (CONT’D) You said you’d wait.
HOLLY (breaking, tears)
I know. (beat)
And I didn’t. I lied.
A red outline glows on the wall. A door. Incomplete. Beth walks toward it. No footsteps. She turns.
BETH
If I go... will you come this time?
Holly steps forward. Tears streaming. She reaches for the girl's hand again. Her sister hesitates.
HOLLY
I love you. I never stopped. But I
can’t stay. If I do... I lose myself.
BETH
So you choose you.
HOLLY (devastated) I don’t want to.
(beat)
But I have to.
A long silence. The girl looks down.
BETH Just go.
(beat)
You always do.
The glow brightens. The girl va"
36,Holly returns and rules appear,No material state change occurs.,(none),"HOLLY touches the red outline. It gives.
INT. PARLOR – REALITY – SAME TIME
HOLLY stands in the doorway. Pale. Haunted.
CUT TO:
Silence.
HOLLY
She was there. Beth.
(beat)
I saw her. And I let her stay.
HOLLY (CONT’D)
We can’t go back. None of us.
She sits. The TIMEPIECE TICKS.
JAXTON
(feeling responsibility
and a sadness)
Then we finish the story and end this together.
The red door creaks shut. Gone.
WESLEY glances at his tablet. Screen flickers.
STREAM OVERLAY – distorts violently.
TEXT FLASHES: “Start a story. Reveal the wound. Pay the cost. Only then can you end it.”
The chat freezes. Wesley stares, unsure who saw it.
WESLEY
Shit... feed’s gone again.
LUCAS
Why does it even matter!
JAXTON
(trying to anchor them)
Focus, everyone!
WESLEY
Backup rig should’ve kicked in.
(beat)
He set it up, right?
48.
KELLY
Wine cellar. It’s set. Leave it,
Wes.
WESLEY
Not a chance. Feed’s gold.
Thousands watching. (beat)
You stay. Don’t move. He grabs a flashlight and exits.
MAVERICK
So this was all rigged and the
game’s over, right?
No response. KELLY stares at the timepiece."
37,Wesley finds Billy and flees,No material state change occurs.,(none),"INT. WINE CELLAR – REALITY - CONTINUOUS Dust. Shadow. The low hum of a generator. Wesley edges in, phone-light trembling.
WESLEY
It’s fine. Just Billy, late as
always. Probably hiding, messing with me—
CUT TO:
A SCARE TRAP triggers. A skeletal animatronic LUNGES.
WESLEY (CONT’D) Fuck—Billy!
He turns a corner.
BILLY slumped against the stone wall. Skin blistered. A SPIRAL burned into his chest, glowing faintly.
Wesley stumbles forward.
Billy...?
WESLEY (CONT’D)
He drops to his knees. Reaches out—his hand comes up slick with blood.
WESLEY (CONT’D) No... no, no, no—
49.
The SPIRAL pulses. Whispers crawl out, not Billy’s voice but something parasitic, inside his head.
PARASITIC VOICE (O.S.) You sold the story.
Wesley jerks back, gagging. Vomits onto the stone.
WESLEY
I didn’t—I didn’t know—
The VOICE grows louder, echoing off the walls.
PARASITIC VOICE (O.S.) You brought them.
Wesley claws his way up the steps, scrambling, desperate to escape.
CUT TO:
INT. PARLOR – REALITY - MOMENTS LATER
The door SLAMS open. Wesley BURSTS in, bloody, shaking.
WESLEY (hoarse, broken)
We have to go. We have to—now. The others freeze.
KELLY Wesley, what—
WESLEY
Billy’s dead. He’s... burned,
carved open, the spiral— (voice cracking)
I touched him, he was—oh god—
MAVERICK You’re kidding, right?
WESLEY (snarling, snapping)
Do I look like I’m fucking kidding?!
He grabs the front door. YANKS. Nothing. The house GROANS back at him.
Wesley collapses against the wall. Sobs rack his chest. Words spill out, ja"
38,Wesley confesses and enters door,No material state change occurs.,(none),"WESLEY (CONT’D)
It wasn’t supposed to be this. It was just a show. A stupid stream.
(choking)
We rigged the scares, the traps, all of it.
He buries his face in his hands, trembling.
WESLEY (CONT’D) I needed it to work. Rent’s
overdue. My cards are maxed. Every month I’m drowning, and nobody gives a shit. But fear—fear cuts through everything.
(beat — he looks up, wild- eyed)
When you’re scared, that’s the only time you’re real. No masks. No filters. That’s all I wanted.
He collapses into sobbing.
WESLEY (CONT’D)
I just wanted them to watch me.
The TIMEPIECE TICKS.
The MAP BLEEDS in thick, dark letters: “WESLEY, TELL THE TRUTH.”
SILENCE. The group stares at him, rattled to the core. A new DOOR forms. Rounded. No handle. Just shadow.
The LIVESTREAM tablet flickers to life.
LIVESTREAM CHAT FLOODS:
**“Tell the truth.”** **“Let the story finish.” **“We’re still watching.”**
KELLY
It’s asking you to testify.
JAXTON
If it is rigged Wes, let’s just
stop... enough already.
Wesley looks at them. At the camera. At the door.
51.
He walks to it. Shaking. Stops in the threshold. Turns to camera.
WESLEY
I wanted fear. I wanted clicks. I
brought you all in. (beat)
I’m sorry. He steps inside.
From the tablet, APPLAUSE. The DOOR SNAP"
39,Wesley performs and is consumed,No material state change occurs.,(none),"INT. THEATER ROOM – ALTERED REALITY - CONTINUOUS
The screen flickers. Shadows coil. Wesley staggers forward, blood on his hands, manic.
WESLEY (pleading, screaming)
Fear is the only thing that’s real! Don’t you see? When you’re terrified, that’s when you’re honest!
The HOUSE shudders. A hundred WHISPERS ripple through the walls.
VOICES (O.S.) Truth. Truth. Truth.
Wesley freezes. His own words echo back, distorted. He steadies himself, forces a manic grin, one more showman’s mask.
WESLEY
(to the unseen crowd)
What’s up, weirdos... you still watching?
(beat — voice trembling) Tonight’s special feature... me.
He spreads his arms wide like a performer on stage. A spotlight of sickly light pins him.
WESLEY (CONT’D)
No edits. No retakes. Just raw
terror. Just truth. (choking)
I wanted fear. I wanted clicks. I (MORE)
52.
WESLEY (CONT’D) brought you all in for the show.
Isn’t this what you came for?
The screen erupts with the group’s faces, Jaxton, Holly, Lucas, Kelly, Maverick, each frozen in pure fear. Wesley’s philosophy reflected back, magnified, undeniable.
He laughs, a broken, hollow sound, halfway between sobbing and a livestream bit.
WESLEY (CONT’D) Smash that like button, right?
Don’t forget to subscribe... (voice breaking)
Please... don’t stop watching me.
The VOICES thunder, overlapping, swallowing him:
VOICES (O.S.)
We see you. We see you. We see you.
The shadows surge. Wesley SCREAMS as he’s pulled into the screen, his own performance devouring him. The last thing visible is his hand, "
40,Group reacts and story worsens,No material state change occurs.,(none),"INT. PARLOR – REALITY – SAME TIME
The tablet lies on the table. Frozen frame: Wesley’s grin, hollow and trembling.
The group stares in stunned silence. No one breathes.
Maverick rips the flask from Holly’s hand, downs it. His hands shake.
MAVERICK (hoarse)
That... that wasn’t an act.
Lucas presses his palms to his eyes, breaking. Kelly sits rigid, the watch ticking like a metronome of doom.
LUCAS
He tried to... host his own death.
HOLLY (haunted)
He wanted them to love him. And it ate him instead.
53.
Jaxton flips his notebook open with trembling fingers. New words bleed across the page, not his own: “The story consumes its storyteller.”
JAXTON (whisper)
It used him... like it’s using all of us.
The house GROANS, a low exhale. The chandelier above sways, glass tinkling.
KELLY (low, cold)
The Feeder’s awake now. It won’t stop. Not until it’s fed enough truth.
The MAP bleeds darker. The BLACK CIRCLE spreads, swallowing the drawn terrain.
The group sits in the awful silence left by Wesley’s performance collapse, his manic grin burned into them.
For the first time, no one jokes. No one deflects.
They know, this story will finish, with or without them.
CUT TO:"
41,Lucy arrives and enters basement,No material state change occurs.,(none),"EXT. RED HALLOW LODGE - REALITY – NIGHT
An old pickup truck rumbles to a stop. Fog curls around the trees like smoke.
Inside, LUCY WILLIS (24), athletic, alert, eyes sharp but tired. She kills the engine. For a moment, she just sits. Breathing. Her hand clutches a PHOTO, she and JAXTON with their parents. A faded family portrait, the last one before the crash. On the back, in Jaxton’s handwriting: “Sept. 13 — Never forget.”
LUCY (V.O.)
I promised I’d protect him. After
the crash, I swore I’d never let him face the world alone. And I broke that promise.
Her eyes sting. She presses the photo to her chest.
The passenger seat glows with the light of a LAPTOP. She hits the trackpad. The frozen livestream crackles back to life.
54.
A frame: WESLEY performing for the camera. Another: JAXTON at the table. Older than she remembers. Tired. Haunted.
Her jaw clenches. She dials his phone.
LUCY
Come on... pick up.
It rings.
Then, a VOICE answers. Her own.
HER VOICE (V.O.) You’re already late.
She stiffens. The call drops. ZERO BARS.
LUCY (shaken whisper)
What the hell is this place?
She looks out the window. The AUDI SUV. The JEEP. Silent. All the house windows black.
She grips the photo tighter.
LUCY (CONT’D) (soft)
Please be okay, Jax. Not tonight. Not on their day.
She steps out. Cold FOG hits hard. She grabs her backpack and throws it over her shoulder.
LUCY (CONT’D) (to herself)
I left you once. Not again.
She moves toward the entrance, low and careful, scanning the shadows.
From the woods, faint LAUGHTER. Or APPLAUSE. She freezes. Holds her breath.
The sound dies. She forces herself forward.
EXT. RED HALLOW LODGE – REALITY – MOMENTS LATER She reaches the veranda. Knocks. Pounds harder. Silence. Nothing answers.
55.
She circles the house perimeter. Branches snag her jacket. Her breath quickens.
A faint SICKLY GREEN LIGHT spills from a basement window. Cracked open. Beckoning.
She crouches. Peers inside.
LUCY (pleading, quiet)
Let me in.
She forces the window wider. Crawls forw"
42,Lucy finds Billy and runs,No material state change occurs.,(none),"INT. WINE CELLAR – NIGHT
Darkness. Her hands scrape on stone. Jeans rip against the sill.
She raises her flashlight. The beam slices across the cellar and lands on BILLY.
His body slumped against the wall. Skin blistered, split. A SPIRAL burned into his chest. Faintly glowing.
LUCY (horrified)
Oh my god... oh my god...
Her hand flies to her mouth. She stumbles backward, nearly dropping the light. Her breath breaks, ragged.
She turns toward the faint glow under the door at the far end of the cellar. Runs for it. Desperate to re"
43,Map says next and Maverick rebels,No material state change occurs.,(none),"INT. PARLOR – REALITY – NIGHT
The FLOOR RUMBLES. Dice rattle across the table. The MAP bleeds again, ink soaking like open veins.
A single word rises through parchment: NEXT.
MAVERICK (low, rattled)
What the hell does that mean?
KELLY (soft, certain)
It means we’re still inside its story. And it’s not done feeding.
56.
The tablet VIBRATES, new comments cascade across the dead glass.
LIVESTREAM CHAT:
**“stay live”**
**“don’t cut”**
**“this is history”**
Maverick stares between the scrolling chat and his friends. His chest heaves. His composure fractures.
MAVERICK
No more audience. No more circus.
He YANKS the rig’s power cord. Sparks. But the feed doesn’t die. The stream STAYS LIVE. Comments crawl across the lifeless screen.
MAVERICK (CONT’D) (rising, breaking)
This stops now. Burn the map. Break the game. End it.
He grabs the campaign binder, hurls shaking hands.
The HOUSE GROANS. Walls flex inward chandelier SWINGS hard overhead.
KELLY (low, sharp)
Don’t. Every time someone it takes more.
The torn map flutters to the floor. Kelly’s timepiece TICKS ONCE. LOUD.
it. Tears at the map with like lungs exhaling. The
quits...
Bloodstained silence.
MAVERICK
(panic, survival mode)
We have to fight back.
HOLLY
(snapping, unraveling)
Fight what, Maverick? The walls? The story? Each other? Tell me how!
JAXTON (quiet, breaking)
If we stop... it chooses.
57.
KELLY (soft)
And it punishes.
The MAP PULSES. A second sheet unfurls across the table. Blank. Ink slithers like veins.
A single word writes itself: CHOOSE.
HOLLY (whispered)
It wants one of us to volunteer.
MAVERICK (snarling)
To hell with it. I told you, burn the damn thing.
He reaches again. The map WRITHES. A scorching hiss curls toward his hand. He recoils, cursing, eyes wet.
Jaxton’s eyes fix on the page.
JAXTON (cracking)
We’re not choosing characters anymore.
(beat)
We’re choosing who bleeds next.
A sick silence falls. Lucas’s voice cuts through, flat, fatal."
44,Map chooses Holly and accusations fly,No material state change occurs.,(none),"LUCAS
It’s already decided.
The MAP bleeds a name. Red ink spreads like a wound: HOLLY.
HOLLY stares at the map and dice like they’ve betrayed her. Her throat tightens. She forces steel through trembling hands.
HOLLY
Of course it’s me.
LUCAS (urgent)
Holly—wait—
HOLLY (hard, covering)
No. I’m good. Let’s do it. Let’s see what other nightmares I locked away.
58.
MAVERICK
(voice cracks, brittle
with anger)
Maybe Puck’s pulling the strings. Maybe he picks who gets hit. Maybe he’s saving his favorite. Kelly.
All eyes pivot to her. The accusation hangs heavy. Kelly doesn’t flinch. Rage simmers beneath her calm.
KELLY
I didn’t ask for him. Or any of
this. (beat)
You think I enjoy watching this house chew through people I just met? Through people I... actually care about?
Silence. Breathing syncs with the house, jagged, terrified. The MAP bleeds again. New geometry. New cruelty.
THE MIRRORED CHAMBER. Broken reflections surround a black altar.
Jaxton’s hand jerks, almost possessed. Words tumble out, not fully his.
JAXTON
You enter a round chamber. Cold
marble. Six mirrors. But they’re not reflections. They’re watching.
HOLLY Jaxton...?
Jaxton blinks hard. Sweat beads at his temple. His voice shaky.
JAXTON (quiet, fighting)
I can’t stop it. The story’s making me...
LUCAS (pressing)
What else is in the room?
JAXTON (straining)
An altar. A locked chest. Syla Veilshade... has the key."
45,Holly touches chest; Lucy is taken,No material state change occurs.,(none),"The chest SHIMMERS into being. Solid. Wrong. The air chills around it.
HOLLY
What happens if I don’t open it?
Jaxton’s voice twists. His lips move, but something else speaks through.
JAXTON / PARASITIC VOICE (possessed)
You won’t get out.
HOLLY Who said that?
JAXTON (quiet, rattled)
I think I did.
KELLY (urgent)
Holly, don’t.
HOLLY
We never got to not do it. That’s
what you said, Jax.
She reaches. Fingers brush the chest. Her hand passes through it like smoke.
The LIGHTS GLITCH. The walls SHRIEK, voices of children, of grief.
From beyond the parlor, a SCREAM. LUCY’S scream.
The parlor doors SLAM SHUT.
INT. PARLOR – ALTER REALITY – NIGHT
The door CREAKS open. LUCY stumbles in, mud-streaked, sleeve torn, eyes wild. Her backpack clings to her like armor.
The CAMERA RIG flickers on by itself.
ONSCREEN: An empty parlor. One chair. A figure materializes JAXTON. But wrong. Smooth-faced. Uncanny. Hollow imitation.
JAXTON (O.S.) You’re already inside.
60.
LUCY (desperate) Jaxton? JAXTON!
She bolts to the doors. Locked. Sealed. Her fists hammer until they bleed.
LUCY (CONT’D) Open! OPEN!
The tablet lights: “LUCIANA WILLIS — YOUR TURN.”
LUCY (CONT’D) (shaking her head)
No. That’s not me. That’s not real.
The MAP ignites across the wall, burning letters into plaster: “THE WAITING ROOM.”
Lucy stumbles back.
Onscreen: her mouth moves, but the voice is not hers. The camera locks on her.
PARASITIC WHISPER (O.S.) It’s always recording.
Lucy's eyes brim with panic. She turns toward the dark, screaming.
LUCY
Jax, don’t let it take you too—
The SOUND CRACKS. Her body jerks, GONE.
INT. PARLOR – REALITY / ALTER REALITY – CONTINUOUS
Chaos detonates. Adrenaline becomes panic. Grief rips the air.
JAXTON (slamming door)
LUCY! LUCY!!
His voice cracks. He pounds until his knuckles split.
HOLLY (horrified)
She was right there, we have to get her out!
61."
46,Door won’t break and Kelly states past,No material state change occurs.,(none),"MAVERICK swings a chair at the handle. Sparks. Wood splinters. No give.
MAVERICK
Come on! We can break it!
KELLY (snapping, trembling)
STOP! You’ll make it worse!
LUCAS (panicked)
Worse?! She’s trapped, Kelly! What the hell does worse mean?!
The TIMEPIECE in Kelly’s pocket TICKS. Rapid. dying heart.
JAXTON (voice shredding)
Lucy, listen to me! Don’t trust anything it shows you! Don’t trust it!
The walls PULSE. A LOW GROAN shudders through beast-like.
KELLY (hollow)
We’re not rescuing anyone. We’re trading turns.
A silence heavier than screams.
HOLLY (breaking)
What... do you mean?
Kelly’s hands shake. Tears burn as she forces
KELLY
I’ve been here before.
Everyone turns. Disbelief. Fear.
KELLY (CONT’D)
Thirteen years ago. My brother was
eight. We were on vacation, invited to a game night. Some older kids, my cousin’s friends. I didn’t even want to go. But I didn’t want to be the weird girl who stayed home.
She swallows hard. Her voice begins to break.
Uneven. Like a
the beams,
the words out.
62.
KELLY (CONT’D)
We played. Just like you. Just like
this. But the game didn’t end. The demon in the house wouldn’t let it.
Maverick stares, wide-eyed.
MAVERICK (stunned)
The Miller murders... that was you?
KELLY
They said I survived. That’s what
the papers wrote. But I didn’t. Not really.
(beat)
No one believed me. They blamed my cousin. Called it a psychotic break.
She looks at Jaxton. Then the sealed door.
KELLY (CONT’D)
The truth is... I let Puck save me. I ran. And the toll was my brother.
Her voice collapses. Tears streak.
KELLY (CONT’D)
I thought if I never told the story
again, it couldn’t find me.
The MAP BLEEDS. Dice twitch. The table shakes confession.
KELLY (CONT’D)
Then Wesley emailed. Said he had a
house for a stream. The address, I knew it. But I came anyway. To stop it.
HOLLY (furious)
Then why wait? Why not warn us?
KELLY (raw)
Would you have believed me? A stranger claiming she crawled out of an urban legend? I thought I could help without dragging you in. But the moment the map bled... I knew.
with her
63.
LUCAS (choked)
What does it want?
KELLY
To get out. And to gorge on every
fear it can before it does."
47,House crushes and Lucy is gone,No material state change occurs.,(none),"The house SHUDDERS. Breath becomes frost. The ceiling bulges, lowering, as if the weight of the house is sinking onto them. BLACK WATER leaks from plaster, running down the wallpaper like veins.
HOLLY (whispered)
Is it... shrinking?
LUCAS (desperate)
No. No, it’s just in our heads. Has to be.
MAVERICK (gasping)
Then why does it feel like my ribs are caving in?
A MIRROR bleeds into existence above the fireplace. Slick, black glass.
Maverick stares. His reflection, older. Hollow-eyed. A wedding ring glints. Beside him, a blurred man’s hand rests on his shoulder.
MAVERICK (CONT’D) (hissing)
That’s not me.
KELLY Maverick—
MAVERICK (spiraling)
That’s NOT ME. NOT ME!
The reflection GRINS. The MIRROR SHATTERS outward. Glass explodes. Maverick drops, screaming, shards cutting his palms.
The FIREPLACE ERUPTS into blue flame. The parlor doors SLAM OPEN—
Lucy is gone."
48,Jaxton breaks down as map picks again,No material state change occurs.,(none),"Jaxton collapses to his knees. His scream is raw, breaking.
JAXTON (shredded)
LUCY!!
HOLLY (devestated)
Oh my god... she’s gone.
Jaxton SLAMS his fists against the floor until blood streaks the boards.
JAXTON (sobbing)
No... no, she’s not! She’s not!
The MAP TWITCHES. A new vein spreads across parchment.
KELLY (hollow)
We lost her. (beat)
And now it’s picking again.
They turn. Maverick kneels in broken glass, shaking, the echo of his reflection’s grin still burning in his eyes.
The house waits"
